#,Framework (Map),Tool Name,Purpose / Function,Linked Research Line(s)
1,Map 1 – Emotional Gradient,Hurt Gradient Scale,Measures perceived harm vs discomfort,R01
2,Map 1 – Emotional Gradient,Emotional Circuit Board,Shows emotional movement through nervous system,R02
3,Map 1 – Emotional Gradient,Accountability Gradient,Visualizes responsibility and repair,"R03, R25"
4,Map 1 – Emotional Gradient,Emotional Compass Tool,Locates emotional position (Belonging ↔ Defense),R04
5,Map 2 – Ego Persona Construct,Role Mask Gradient,Maps social masks and authenticity levels,R05
6,Map 2 – Ego Persona Construct,False Self Map,Identifies protective personas and self-deception,"R06, R08"
7,Map 2 – Ego Persona Construct,Authenticity Meter (prototype),Measures felt vs performed self,Future
8,Map 3 – Three Inner Layers,Internal Compass Tool,"Tracks alignment of Self, Logic, and Mask",R09
9,Map 3 – Three Inner Layers,Logic–Mask Analyzer,Detects cognitive dissonance patterns,R10
10,Map 3 – Three Inner Layers,Somatic Awareness Tracker,Links body sensations to emotional states,R11
11,Map 4 – Breaking False Models,False Model Table,Identifies inherited belief systems,R13
12,Map 4 – Breaking False Models,Power Gradient Map,Reveals emotional distortion behind power,R14
13,Map 4 – Breaking False Models,Cultural Lens Tool (prototype),Analyzes cultural emotional norms,Future
14,Map 5 – Capital Filter,Value Gradient,Maps internal worth vs external validation,R18
15,Map 5 – Capital Filter,Belonging Map,Measures relational vs hierarchical belonging,R17
16,Map 5 – Capital Filter,Scarcity Reflex Tool,Detects stress from worth threat,Future
17,Map 6 – Emotional Architecture of Bias,Bias Gradient,Visualizes defensive vs empathic bias,R21
18,Map 6 – Emotional Architecture of Bias,Empathy Circuit Tool,Maps movement from projection to perspective,R22
19,Map 6 – Emotional Architecture of Bias,Deflection Pattern Mapper (prototype),Detects emotional displacement,Future
20,Map 7 – From Defense to Tyranny,Control Gradient,Shows escalation from anxiety → control → harm,R26
21,Map 7 – From Defense to Tyranny,Power Feedback Loop Tool,Maps defense–control cycles,R28
22,Map 8 – Neurodivergence & Emotional Evolution,ND Gradient,Shows ND variation in intensity and regulation,R29
23,Map 8 – Neurodivergence & Emotional Evolution,Pattern Recognition Tool,Tracks how ND cognition interprets emotion,R30
24,Map 8 – Neurodivergence & Emotional Evolution,Sensory Regulation Dashboard,Supports sensory load awareness,R31
25,Map 9 – Our True Self,Inner Child Map,Guides emotional reconnection,R33
26,Map 9 – Our True Self,Shame Recovery Tool,Reframes self-criticism into compassion,R35
27,Map 9 – Our True Self,True Self Indicators Checklist,Tracks reconnection progress,R36
28,Map 10 – Rebuilding Generational Bridges,Generational Bridge Map,Shows inherited emotional patterns,R37
29,Map 10 – Rebuilding Generational Bridges,Storytelling & Repair Framework,Supports empathy across generations,R39
30,Map 10 – Rebuilding Generational Bridges,Emotional Inheritance Chart,Tracks transgenerational emotions,"R38, R40"
31,Map 11 – Emotional Logic Behind Human Paradoxes,Paradox Map,Visualizes dual emotional truths,R41
32,Map 11 – Emotional Logic Behind Human Paradoxes,Emotional Logic Coding Schema,Translates emotion into AI-readable logic,R42
33,Map 11 – Emotional Logic Behind Human Paradoxes,Collective Paradox Grid,Explores systemic contradictions,R43
34,Cross-Framework Tools,Emotional Mode Slider,"Navigates the four modes (Connect, Protect, Manipulate, Oppress)",All
35,Cross-Framework Tools,Empathy Sensors Diagram,Illustrates relational perception loops,Map 0 / 6 / 10
36,Cross-Framework Tools,Gradient Builder App (prototype),Interactive digital interface for dynamic mapping,System-level
